
what articles exist which deal with tss time sharing system an operating system for ibm computers--------------

('1519', 24.5339444356863)
('1161', 23.024295525091283)
('1605', 22.92594424797923)
('1410', 22.216367887255167)
('1033', 22.116315611550398)
('1591', 22.0840347990152)
('1506', 21.77863944209173)
('1680', 20.944222121828616)
('2319', 20.756087132696795)
('2947', 20.519860488948964)
('1698', 20.420928739116135)
('2379', 20.397216604564882)
('1938', 20.087728545032352)
('2054', 19.952975691651293)
('3048', 19.909782862261814)
('1844', 19.537661833245018)
('1750', 19.487014661494236)
('1264', 19.406758531891008)
('1523', 19.297823158443485)
('3127', 19.161625518724087)
('1544', 19.038733650686282)
('3025', 18.951717317496186)
('2371', 18.931957322068165)
('2357', 18.826819516099423)
('2380', 18.784539767486564)
('1168', 18.57511337534002)
('2541', 18.260559204514646)
('1827', 18.199961784134068)
('1315', 18.156343501982303)
('2535', 18.042620108567192)
('3023', 17.7135979402398)
('2764', 17.547249161016477)
('1657', 17.339812774395934)
('1226', 17.333568017976244)
('1685', 17.315821550596254)
('1236', 17.27584018024765)
('1647', 17.218980160632775)
('1885', 17.216054915911798)
('2629', 17.17716872936566)
('2948', 17.168554525787833)
('2740', 17.149231173661413)
('2542', 16.863086546688837)
('1440', 16.813090919876114)
('2424', 16.736925148136955)
('1195', 16.530554184852114)
('1163', 16.51688917658735)
('2681', 16.392200244660025)
('2950', 16.3573584270158)
('2622', 16.274581967184464)
('2398', 16.216349954747308)
('2624', 16.127969105815353)
('2219', 16.12082524431168)
('1542', 16.024463108677093)
('2878', 16.00774140993925)
('2560', 15.793744294573264)
('1697', 15.787551678957982)
('1805', 15.736455937680692)
('3137', 15.670720180310987)
('2951', 15.64122838970876)
('2390', 15.614436273082354)
('2188', 15.576513829246988)
('1173', 15.563879941223915)
('1304', 15.556619466177912)
('2201', 15.545130484888652)
('2920', 15.503449144592093)
('1179', 15.440062448993032)
('2358', 15.423356909787717)
('1341', 15.405841813959775)
('2003', 15.3285096413062)
('1518', 15.287185039102864)
('2372', 15.280228731581794)
('1472', 15.24840865420932)
('1534', 15.22389270461056)
('2378', 15.129970097409991)
('2946', 14.93944423520581)
('2288', 14.927368206257233)
('2917', 14.84850342624629)
('2500', 14.782470474189715)
('2632', 14.770029441429296)
('1753', 14.63594756305068)
('2153', 14.571748982703989)
('3068', 14.554187220627325)
('1747', 14.548534657480602)
('2370', 14.546908794184464)
('1571', 14.413664403691033)
('1034', 14.369102590264639)
('3089', 14.34831159079771)
('2536', 14.323672276413234)
('2796', 14.25968594181213)
('2344', 14.209852433557996)
('1225', 14.152188473469938)
('2184', 14.096023049712812)
('3153', 13.962559051957385)
('2519', 13.872235100415677)
('2841', 13.869771864540514)
('2621', 13.861433220489642)
('2317', 13.85851969712931)
('1923', 13.725617996155705)
('1408', 13.636314229329082)
('1755', 13.61043242479169)
i am interested in articles written either by prieve or udo pooch prieve b pooch u--------------

('3059', 40.68796422256597)
('3078', 39.147935314714246)
('1931', 38.459090129787214)
('1588', 38.157279699755705)
('3028', 34.83440537357367)
('1974', 34.7703069009237)
('1530', 34.71173257940274)
('1519', 34.67640932726929)
('2039', 34.40587729417036)
('1012', 33.88915471288148)
('1727', 33.86296357614488)
('1569', 33.80385671830692)
('2905', 33.78737264675815)
('1821', 33.471656811093524)
('3057', 32.48947420464812)
('2449', 31.147965333311078)
('2845', 30.857803333547686)
('3072', 30.603642654617374)
('2916', 30.3269426640323)
('2100', 29.941126210916316)
('2786', 29.816123493552542)
('2897', 29.657894854327033)
('2448', 29.643762802616198)
('2713', 29.643762802616198)
('2434', 29.539133903224442)
('1166', 29.407625609066045)
('1343', 29.367290916435667)
('2971', 29.312484454114582)
('1057', 29.217745705194822)
('1301', 29.217745705194822)
('2473', 29.066410643245813)
('2177', 29.051074853813105)
('1062', 28.936360654990413)
('1582', 28.92317833591931)
('1881', 28.786086760918497)
('1378', 28.778110806096766)
('1764', 28.73920855566396)
('1371', 28.634491219731576)
('1574', 28.634491219731576)
('1575', 28.634491219731576)
('2381', 28.49229800622221)
('1407', 28.351510021311366)
('1579', 28.351510021311366)
('1606', 28.241353126770054)
('1450', 28.212106536604328)
('1584', 28.212106536604328)
('2219', 28.12938973235948)
('1943', 28.108375884390057)
('1732', 28.0740672293951)
('2534', 27.8733445624079)
('1850', 27.86848553452571)
('1824', 27.810464018351336)
('1580', 27.80200182611674)
('1585', 27.80200182611674)
('2199', 27.80200182611674)
('1895', 27.667937025615146)
('2968', 27.553584989420845)
('2762', 27.403649238629857)
('2520', 27.21148001332281)
('3088', 27.125820626089368)
('2157', 27.016550749700055)
('2915', 26.911617640721353)
('3020', 26.68275728510431)
('2729', 26.216920064825906)
('2392', 26.02516056626785)
('1634', 26.016696760323484)
('1563', 25.893642850069774)
('2642', 25.671977168977683)
('1583', 25.571669516123332)
('2395', 25.460959576691597)
('1373', 25.345748764310926)
('2051', 25.18127922989885)
('1581', 25.123784985655256)
('2756', 25.014254615761672)
('1676', 24.98550308211982)
('2031', 24.736271358552962)
('2714', 24.65018543077479)
('1281', 24.33862977821595)
('2337', 24.273490794238157)
('1473', 24.177939957079754)
('1258', 24.06557455833547)
('2568', 23.967334667210643)
('1674', 23.681070694889204)
('1164', 23.50694218003967)
('2311', 23.375535613091696)
('1495', 23.329783556722)
('2486', 23.137053565608465)
('2984', 23.05332514238845)
('2771', 22.974501848658598)
('1400', 22.916223918565674)
('3056', 22.896413267874674)
('1181', 22.77938633127245)
('1622', 22.25249718924835)
('1190', 22.121065734693847)
('1735', 22.08884247933013)
('2731', 22.036108012702023)
('2572', 22.013680111528902)
('2666', 21.521520494335547)
('2801', 21.0348895755608)
('1165', 20.999721756668073)
intermediate languages used in construction of multi-targeted compilers tcoll--------------

('2921', 7.720959714766228)
('2112', 7.69915856152055)
('2579', 7.499307400608531)
('1723', 7.3502665858613865)
('2061', 7.278709693436982)
('2886', 7.031768974792186)
('2411', 7.023682713962183)
('3102', 6.814551436106687)
('3115', 6.308331276432721)
('3099', 6.298238977173581)
('2939', 6.229079965948389)
('2551', 5.893956891268461)
('2658', 5.81223913558077)
('1852', 5.789051122919488)
('1835', 5.736714972955473)
('3130', 5.609268194724573)
('1402', 5.553031073763488)
('3171', 5.452878660739358)
('1457', 5.373177153540805)
('2254', 5.268937610778739)
('1533', 5.193095729143895)
('2495', 5.162074492511033)
('1134', 5.129361282570803)
('1783', 5.044215427351351)
('1135', 5.017327693967967)
('2873', 5.017214947772082)
('3124', 4.999764950248563)
('2542', 4.956870231263858)
('1807', 4.911231530755957)
('3093', 4.906002605188766)
('1387', 4.861506253798899)
('2316', 4.769983053158514)
('3030', 4.722876719272067)
('1350', 4.698512715032422)
('2587', 4.524963370997926)
('1459', 4.502180311683466)
('1313', 4.461640959866143)
('2659', 4.440925498607326)
('2603', 4.422213820204461)
('3105', 4.420676538594149)
('1003', 4.3984114157265175)
('2066', 4.379917445090632)
('2449', 4.362121858407249)
('2684', 4.357453695296611)
('2064', 4.348732623945457)
('1923', 4.317103909929877)
('2423', 4.3084367802892745)
('1456', 4.288385545217171)
('1788', 4.28435852468514)
('2867', 4.2524399140529106)
('2718', 4.231888597660751)
('2470', 4.228311506798357)
('1309', 4.220624954421662)
('2558', 4.2133864875301015)
('2295', 4.188772266823579)
('1154', 4.179998538098391)
('2990', 4.154587170412336)
('2372', 4.148442909471468)
('1671', 4.13971011363302)
('2439', 4.131046799188129)
('2705', 4.1266823443664755)
('2843', 4.12257169151191)
('2210', 4.118671737494597)
('2424', 4.066138890070707)
('1162', 4.063454922582288)
('2572', 4.056699245043875)
('1988', 4.036954626519451)
('1572', 4.026537066841195)
('1062', 3.993149884758648)
('2534', 3.97859359145818)
('1658', 3.9646307342171196)
('1348', 3.9295786293450403)
('1098', 3.919807417779378)
('1466', 3.901847425466307)
('2746', 3.8903481015023456)
('2661', 3.8832119446157467)
('2897', 3.865525240458509)
('2871', 3.8409491294094606)
('1194', 3.8357441011166413)
('1678', 3.8294035926074264)
('1869', 3.8290918764605566)
('1947', 3.8241902055487578)
('2929', 3.810520615227765)
('1029', 3.8041814529967763)
('2904', 3.7833118321240886)
('2652', 3.7808818075739863)
('1703', 3.778327266280125)
('2305', 3.773108545989879)
('1314', 3.7653036296246505)
('2406', 3.758165738314418)
('1366', 3.7518651248577948)
('2138', 3.7368850115904264)
('3151', 3.7334684501904487)
('3077', 3.6861378358116985)
('1696', 3.64010526507006)
('3177', 3.5369637945650476)
('2877', 3.4980586448601976)
('1565', 3.4917900740025902)
('1484', 3.469235934463401)
('2710', 3.466169597074073)
